seqID,domain,pdbId,chain
24882,d1j98a_,1j98,a
24883,d1jb0a_,1jb0,a
24884,d1jb0d_,1jb0,d
24885,d1jb0f_,1jb0,f
24886,d1jb0i_,1jb0,i
24887,d1jb0j_,1jb0,j
24888,d1jb0l_,1jb0,l
24889,d1jb0m_,1jb0,m
24890,d1jb3a_,1jb3,a
24891,d1jfba_,1jfb,a
24892,d1jhga_,1jhg,a
24893,d1ji7a_,1ji7,a
24894,d1jida_,1jid,a
24895,d1jkea_,1jke,a
24896,d1jlya1,1jly,a
24897,d1jm1a_,1jm1,a
24898,d1jmma_,1jmm,a
24899,d1jnra1,1jnr,a
24900,d1jo0a_,1jo0,a
24901,d1jofa_,1jof,a
24902,d1josa_,1jos,a
24903,d1jr8a_,1jr8,a
24904,d1js8a2,1js8,a
24905,d1jw9b_,1jw9,b
24906,d1jx4a1,1jx4,a
24907,d1jz8a1,1jz8,a
24908,d1k04a_,1k04,a
24909,d1k0ra4,1k0r,a
24910,d1k1fa_,1k1f,a
24911,d1k32a2,1k32,a
24912,d1k32a3,1k32,a
24913,d1k3ia3,1k3i,a
24914,d1k3xa1,1k3x,a
24915,d1k3xa2,1k3x,a
24916,d1k3xa3,1k3x,a
24917,d1k4ia_,1k4i,a
24918,d1k4ta1,1k4t,a
24919,d1k4za_,1k4z,a
24920,d1k5ca_,1k5c,a
24921,d1k5na2,1k5n,a
24922,d1k6ka_,1k6k,a
24923,d1k6ya1,1k6y,a
24924,d1k7ca_,1k7c,a
24925,d1k8kd1,1k8k,d
24926,d1k8ke_,1k8k,e
24927,d1k8kg_,1k8k,g
24928,d1k92a2,1k92,a
24929,d1ka1a_,1ka1,a
24930,d1kafa_,1kaf,a
24931,d1kapp1,1kap,p
24932,d1kbla2,1kbl,a
24933,d1kgsa1,1kgs,a
24934,d1kjna_,1kjn,a
24935,d1kjqa1,1kjq,a
24936,d1kjqa2,1kjq,a
24937,d1kjqa3,1kjq,a
24938,d1kl9a1,1kl9,a
24939,d1klxa_,1klx,a
24940,d1kmva_,1kmv,a
24941,d1knma_,1knm,a
24942,d1knza_,1knz,a
24943,d1ko7a1,1ko7,a
24944,d1kp6a_,1kp6,a
24945,d1kpta_,1kpt,a
24946,d1kq6a_,1kq6,a
24947,d1kqfb2,1kqf,b
24948,d1kqfc_,1kqf,c
24949,d1kqpa_,1kqp,a
24950,d1kwfa_,1kwf,a
24951,d1kyfa1,1kyf,a
24952,d1kyfa2,1kyf,a
24953,d1kyqa2,1kyq,a
24954,d1kzqa1,1kzq,a
24955,d1l0qa1,1l0q,a
24956,d1l0sa_,1l0s,a
24957,d1l2pa_,1l2p,a
24958,d1l3ka1,1l3k,a
24959,d1l3la2,1l3l,a
24960,d1l3pa_,1l3p,a
24961,d1l5ja1,1l5j,a
24962,d1l6pa_,1l6p,a
24963,d1l9la_,1l9l,a
24964,d1lc0a2,1lc0,a
24965,d1lfpa_,1lfp,a
24966,d1lg7a_,1lg7,a
24967,d1lkka_,1lkk,a
24968,d1llaa1,1lla,a
24969,d1lm5a_,1lm5,a
24970,d1lm8v_,1lm8,v
24971,d1lmia_,1lmi,a
24972,d1lnsa1,1lns,a
24973,d1lpba1,1lpb,a
24974,d1lrza1,1lrz,a
24975,d1ls1a1,1ls1,a
24976,d1lsha1,1lsh,a
24977,d1lsha2,1lsh,a
24978,d1lsla1,1lsl,a
24979,d1m0ka_,1m0k,a
24980,d1m15a1,1m15,a
24981,d1m15a2,1m15,a
24982,d1m1eb_,1m1e,b
24983,d1m1fa_,1m1f,a
24984,d1m1ha1,1m1h,a
24985,d1m22a_,1m22,a
24986,d1m55a_,1m55,a
24987,d1m56d_,1m56,d
24988,d1m6ya1,1m6y,a
24989,d1mc2a_,1mc2,a
24990,d1mf7a_,1mf7,a
24991,d1mg4a_,1mg4,a
24992,d1mj4a_,1mj4,a
24993,d1mk0a_,1mk0,a
24994,d1mkfa_,1mkf,a
24995,d1mkya3,1mky,a
24996,d1mlaa2,1mla,a
24997,d1mtyg_,1mty,g
24998,d1muwa_,1muw,a
24999,d1mv8a3,1mv8,a
25000,d1mvfd_,1mvf,d
25001,d1mw5a_,1mw5,a
25002,d1mwpa_,1mwp,a
25003,d1mwqa_,1mwq,a
25004,d1n3la_,1n3l,a
25005,d1n4wa2,1n4w,a
25006,d1n5ua1,1n5u,a
25007,d1n62a1,1n62,a
25008,d1n62b1,1n62,b
25009,d1n62b2,1n62,b
25010,d1n62c1,1n62,c
25011,d1n62c2,1n62,c
25012,d1n7za_,1n7z,a
25013,d1n81a_,1n81,a
25014,d1n8va_,1n8v,a
25015,d1n93x_,1n93,x
25016,d1na6a1,1na6,a
25017,d1nc7a_,1nc7,a
25018,d1ng6a_,1ng6,a
25019,d1nh1a_,1nh1,a
25020,d1nh2b_,1nh2,b
25021,d1nh2c_,1nh2,c
25022,d1nija2,1nij,a
25023,d1nkda_,1nkd,a
25024,d1nkia_,1nki,a
25025,d1nkpa_,1nkp,a
25026,d1nkza_,1nkz,a
25027,d1nlqa_,1nlq,a
25028,d1no1a_,1no1,a
25029,d1nqja_,1nqj,a
25030,d1nqua_,1nqu,a
25031,d1nrja_,1nrj,a
25032,d1ntha_,1nth,a
25033,d1ntya1,1nty,a
25034,d1nu9c1,1nu9,c
25035,d1nvus_,1nvu,s
25036,d1nwza_,1nwz,a
25037,d1nxja_,1nxj,a
25038,d1nyca_,1nyc,a
25039,d1nzea_,1nze,a
25040,d1nzia1,1nzi,a
25041,d1o22a_,1o22,a
25042,d1o2da_,1o2d,a
25043,d1o3ua_,1o3u,a
25044,d1o6aa_,1o6a,a
25045,d1o75a1,1o75,a
25046,d1o75a3,1o75,a
25047,d1o7ja_,1o7j,a
25048,d1o7qa_,1o7q,a
25049,d1o82a_,1o82,a
25050,d1o8ba2,1o8b,a
25051,d1o98a1,1o98,a
25052,d1oa8a_,1oa8,a
25053,d1oaca4,1oac,a
25054,d1oaia_,1oai,a
25055,d1oc0b_,1oc0,b
25056,d1ocya_,1ocy,a
25057,d1ofcx3,1ofc,x
25058,d1ofda1,1ofd,a
25059,d1ofza_,1ofz,a
25060,d1ogmx1,1ogm,x
25061,d1oisa_,1ois,a
25062,d1ojha_,1ojh,a
25063,d1ok0a_,1ok0,a
25064,d1okca_,1okc,a
25065,d1oksa_,1oks,a
25066,d1olma2,1olm,a
25067,d1olza2,1olz,a
25068,d1olza3,1olz,a
25069,d1on2a2,1on2,a
25070,d1oo0a_,1oo0,a
25071,d1oqja_,1oqj,a
25072,d1or7a2,1or7,a
25073,d1or7c_,1or7,c
25074,d1orja_,1orj,a
25075,d1osya_,1osy,a
25076,d1ou8a_,1ou8,a
25077,d1ov9a_,1ov9,a
25078,d1ow1a_,1ow1,a
25079,d1owla1,1owl,a
25080,d1owla2,1owl,a
25081,d1oxxk1,1oxx,k
25082,d1ozja_,1ozj,a
25083,d1ozna_,1ozn,a
25084,d1p1xa_,1p1x,a
25085,d1p35a_,1p35,a
25086,d1p5dx1,1p5d,x
25087,d1p5dx4,1p5d,x
25088,d1p6oa_,1p6o,a
25089,d1p90a_,1p90,a
25090,d1p9ga_,1p9g,a
25091,d1p9ya_,1p9y,a
25092,d1pbya5,1pby,a
25093,d1pbyc_,1pby,c
25094,d1pfoa_,1pfo,a
25095,d1pfva1,1pfv,a
25096,d1pfva3,1pfv,a
25097,d1pi1a_,1pi1,a
25098,d1pl3a_,1pl3,a
25099,d1pm4a_,1pm4,a
25100,d1pp0a_,1pp0,a
25101,d1ppjc1,1ppj,c
25102,d1ppjd2,1ppj,d
25103,d1ppje2,1ppj,e
25104,d1ppjf_,1ppj,f
25105,d1ppjg_,1ppj,g
25106,d1ppjh_,1ppj,h
25107,d1ppjj_,1ppj,j
25108,d1pprm1,1ppr,m
25109,d1puca_,1puc,a
25110,d1pv5a_,1pv5,a
25111,d1pvma3,1pvm,a
25112,d1px5a1,1px5,a
25113,d1pz4a_,1pz4,a
25114,d1q0qa1,1q0q,a
25115,d1q2ha_,1q2h,a
25116,d1q5ya_,1q5y,a
25117,d1q5za_,1q5z,a
25118,d1q6za1,1q6z,a
25119,d1q6za2,1q6z,a
25120,d1q74a_,1q74,a
25121,d1q88a_,1q88,a
25122,d1q8da_,1q8d,a
25123,d1q9ua_,1q9u,a
25124,d1qd1a1,1qd1,a
25125,d1qexa_,1qex,a
25126,d1qf8a_,1qf8,a
25127,d1qksa2,1qks,a
25128,d1qmea1,1qme,a
25129,d1qmha1,1qmh,a
25130,d1qsaa1,1qsa,a
25131,d1qw2a_,1qw2,a
25132,d1qwga_,1qwg,a
25133,d1r0da_,1r0d,a
25134,d1r0ma1,1r0m,a
25135,d1r0ri_,1r0r,i
25136,d1r0va1,1r0v,a
25137,d1r0va3,1r0v,a
25138,d1r29a_,1r29,a
25139,d1r5la1,1r5l,a
25140,d1r5la2,1r5l,a
25141,d1r6ja_,1r6j,a
25142,d1r71a_,1r71,a
25143,d1r7la_,1r7l,a
25144,d1r8se_,1r8s,e
25145,d1r9fa_,1r9f,a
25146,d1rc9a2,1rc9,a
25147,d1rcqa2,1rcq,a
25148,d1regx_,1reg,x
25149,d1rfya_,1rfy,a
25150,d1rg8a_,1rg8,a
25151,d1rgxa_,1rgx,a
25152,d1ri6a_,1ri6,a
25153,d1rjuv_,1rju,v
25154,d1rk8c_,1rk8,c
25155,d1rkia1,1rki,a
25156,d1rl6a1,1rl6,a
25157,d1rlra1,1rlr,a
25158,d1ro2a_,1ro2,a
25159,d1roca_,1roc,a
25160,d1rssa_,1rss,a
25161,d1rtqa_,1rtq,a
25162,d1rwha1,1rwh,a
25163,d1rwha2,1rwh,a
25164,d1rwia_,1rwi,a
25165,d1ryla_,1ryl,a
25166,d1ryqa_,1ryq,a
25167,d1s0pa_,1s0p,a
25168,d1s1da_,1s1d,a
25169,d1s2xa_,1s2x,a
25170,d1s7ma_,1s7m,a
25171,d1s7za_,1s7z,a
25172,d1s98a_,1s98,a
25173,d1s99a_,1s99,a
25174,d1saua_,1sau,a
25175,d1sbxa_,1sbx,a
25176,d1sdia_,1sdi,a
25177,d1seda_,1sed,a
25178,d1seia_,1sei,a
25179,d1sf9a_,1sf9,a
25180,d1sg4a1,1sg4,a
25181,d1sj7a1,1sj7,a
25182,d1sknp_,1skn,p
25183,d1slua_,1slu,a
25184,d1sr8a_,1sr8,a
25185,d1su8a_,1su8,a
25186,d1svba2,1svb,a
25187,d1syxb_,1syx,b
25188,d1sz7a_,1sz7,a
25189,d1szha_,1szh,a
25190,d1t07a_,1t07,a
25191,d1t11a1,1t11,a
25192,d1t1ea2,1t1e,a
25193,d1t1ua1,1t1u,a
25194,d1t2da2,1t2d,a
25195,d1t3ua_,1t3u,a
25196,d1t6aa_,1t6a,a
25197,d1t6ua_,1t6u,a
25198,d1t77a1,1t77,a
25199,d1t8ka_,1t8k,a
25200,d1t9ia_,1t9i,a
25201,d1tbfa_,1tbf,a
25202,d1td6a_,1td6,a
25203,d1tf5a1,1tf5,a
25204,d1tf5a2,1tf5,a
25205,d1tfea_,1tfe,a
25206,d1ti6b1,1ti6,b
25207,d1tifa_,1tif,a
25208,d1tiga_,1tig,a
25209,d1tjla1,1tjl,a
25210,d1tjxa_,1tjx,a
25211,d1tkea1,1tke,a
25212,d1tkea2,1tke,a
25213,d1tl2a_,1tl2,a
25214,d1ts9a_,1ts9,a
25215,d1tt8a_,1tt8,a
25216,d1tuka_,1tuk,a
25217,d1tula_,1tul,a
25218,d1twfc2,1twf,c
25219,d1twff_,1twf,f
25220,d1twfj_,1twf,j
25221,d1tx4a_,1tx4,a
25222,d1tzba_,1tzb,a
25223,d1u07a_,1u07,a
25224,d1u0sa_,1u0s,a
25225,d1u2ca2,1u2c,a
25226,d1u2ha_,1u2h,a
25227,d1u5ka2,1u5k,a
25228,d1u5pa1,1u5p,a
25229,d1u6ka_,1u6k,a
25230,d1u7ga_,1u7g,a
25231,d1u7za_,1u7z,a
25232,d1u84a_,1u84,a
25233,d1u94a2,1u94,a
25234,d1ucda_,1ucd,a
25235,d1ucsa_,1ucs,a
25236,d1udxa1,1udx,a
25237,d1udxa3,1udx,a
25238,d1ufia_,1ufi,a
25239,d1ufya_,1ufy,a
25240,d1ugia_,1ugi,a
25241,d1uj8a1,1uj8,a
25242,d1unqa_,1unq,a
25243,d1uoya_,1uoy,a
25244,d1uptb_,1upt,b
25245,d1us0a_,1us0,a
25246,d1us7b_,1us7,b
25247,d1usma_,1usm,a
25248,d1usub_,1usu,b
25249,d1ut7a_,1ut7,a
25250,d1utga_,1utg,a
25251,d1utya_,1uty,a
25252,d1uuja_,1uuj,a
25253,d1uuya_,1uuy,a
25254,d1uv7a_,1uv7,a
25255,d1uwka_,1uwk,a
25256,d1ux5a_,1ux5,a
25257,d1ux6a2,1ux6,a
25258,d1uxya2,1uxy,a
25259,d1uz3a_,1uz3,a
25260,d1uz5a1,1uz5,a
25261,d1uz5a2,1uz5,a
25262,d1v0wa1,1v0w,a
25263,d1v30a_,1v30,a
25264,d1v58a2,1v58,a
25265,d1v6pa_,1v6p,a
25266,d1v74b_,1v74,b
25267,d1v7za_,1v7z,a
25268,d1v8ca2,1v8c,a
25269,d1v9ma_,1v9m,a
25270,d1vaja1,1vaj,a
25271,d1vbwa_,1vbw,a
25272,d1vcca_,1vcc,a
25273,d1vcla3,1vcl,a
25274,d1vcta1,1vct,a
25275,d1vd6a_,1vd6,a
25276,d1vf6a_,1vf6,a
25277,d1vf7a_,1vf7,a
25278,d1vh4a_,1vh4,a
25279,d1vi6a_,1vi6,a
25280,d1vioa2,1vio,a
25281,d1vjfa_,1vjf,a
25282,d1vjla_,1vjl,a
25283,d1vk1a_,1vk1,a
25284,d1vk5a_,1vk5,a
25285,d1vkea_,1vke,a
25286,d1vkfa_,1vkf,a
25287,d1vkma_,1vkm,a
25288,d1vlra2,1vlr,a
25289,d1vlya1,1vly,a
25290,d1vlya2,1vly,a
25291,d1vmba_,1vmb,a
25292,d1vmha_,1vmh,a
25293,d1vmoa_,1vmo,a
25294,d1vp7a_,1vp7,a
25295,d1vp8a_,1vp8,a
25296,d1vpba_,1vpb,a
25297,d1vpqa_,1vpq,a
25298,d1vq811,1vq8,1
25299,d1vq821,1vq8,2
25300,d1vq8l1,1vq8,l
25301,d1vq8p1,1vq8,p
25302,d1vq8v1,1vq8,v
25303,d1vq8x1,1vq8,x
25304,d1vq8y1,1vq8,y
25305,d1vr0a1,1vr0,a
25306,d1vr4a1,1vr4,a
25307,d1vr7a_,1vr7,a
25308,d1vr8a1,1vr8,a
25309,d1vrma1,1vrm,a
25310,d1vyia_,1vyi,a
25311,d1vyra_,1vyr,a
25312,d1vzma_,1vzm,a
25313,d1vzya1,1vzy,a
25314,d1vzya2,1vzy,a
25315,d1w0na_,1w0n,a
25316,d1w23a_,1w23,a
25317,d1w53a_,1w53,a
25318,d1w66a1,1w66,a
25319,d1w6sa_,1w6s,a
25320,d1w6sb_,1w6s,b
25321,d1w7ca2,1w7c,a
25322,d1w85i_,1w85,i
25323,d1wb9a1,1wb9,a
25324,d1wb9a3,1wb9,a
25325,d1wb9a4,1wb9,a
25326,d1wcwa_,1wcw,a
25327,d1wd3a2,1wd3,a
25328,d1wdda1,1wdd,a
25329,d1wdda2,1wdd,a
25330,d1wdds_,1wdd,s
25331,d1weha_,1weh,a
25332,d1whia_,1whi,a
25333,d1whza_,1whz,a
25334,d1wjxa_,1wjx,a
25335,d1wlga_,1wlg,a
25336,d1wmib1,1wmi,b
25337,d1wn2a_,1wn2,a
25338,d1wnaa_,1wna,a
25339,d1wnya_,1wny,a
25340,d1wpba_,1wpb,a
25341,d1wpna_,1wpn,a
25342,d1wqga_,1wqg,a
25343,d1wqjb1,1wqj,b
25344,d1wtja_,1wtj,a
25345,d1wu9a1,1wu9,a
25346,d1wuba_,1wub,a
25347,d1wuil_,1wui,l
25348,d1wuis_,1wui,s
25349,d1wvfa1,1wvf,a
25350,d1wvqa_,1wvq,a
25351,d1wy5a2,1wy5,a
25352,d1wy6a_,1wy6,a
25353,d1x2ia1,1x2i,a
25354,d1x38a2,1x38,a
25355,d1x3la_,1x3l,a
25356,d1x6oa1,1x6o,a
25357,d1x6za_,1x6z,a
25358,d1x8qa_,1x8q,a
25359,d1x91a_,1x91,a
25360,d1x9da_,1x9d,a
25361,d1x9za_,1x9z,a
25362,d1xaka_,1xak,a
25363,d1xbia1,1xbi,a
25364,d1xdna_,1xdn,a
25365,d1xeoa_,1xeo,a
25366,d1xg0a_,1xg0,a
25367,d1xkpb1,1xkp,b
25368,d1xkra_,1xkr,a
25369,d1xlya_,1xly,a
25370,d1xm3a_,1xm3,a
25371,d1xmba2,1xmb,a
25372,d1xmka1,1xmk,a
25373,d1xppa_,1xpp,a
25374,d1xqoa_,1xqo,a
25375,d1xsva_,1xsv,a
25376,d1xsza2,1xsz,a
25377,d1xu1r_,1xu1,r
25378,d1xuba1,1xub,a
25379,d1xvsa_,1xvs,a
25380,d1y02a1,1y02,a
25381,d1y0na_,1y0n,a
25382,d1y0pa3,1y0p,a
25383,d1y12a1,1y12,a
25384,d1y5ic1,1y5i,c
25385,d1y6xa1,1y6x,a
25386,d1y9ia_,1y9i,a
25387,d1yb3a1,1yb3,a
25388,d1yc9a_,1yc9,a
25389,d1yfqa_,1yfq,a
25390,d1yfsa1,1yfs,a
25391,d1yk4a_,1yk4,a
25392,d1ylxa1,1ylx,a
25393,d1yoza1,1yoz,a
25394,d1yt3a1,1yt3,a
25395,d1yu0a1,1yu0,a
25396,d1yu5x_,1yu5,x
25397,d1yvra1,1yvr,a
25398,d1yzya1,1yzy,a
25399,d1z0jb1,1z0j,b
25400,d1z0pa1,1z0p,a
25401,d1z0sa_,1z0s,a
25402,d1z0wa_,1z0w,a
25403,d1z21a1,1z21,a
25404,d1z2ua1,1z2u,a
25405,d1z3eb1,1z3e,b
25406,d1z3xa2,1z3x,a
25407,d1z67a1,1z67,a
25408,d1z8ga2,1z8g,a
25409,d1z8ua_,1z8u,a
25410,d1z9ta_,1z9t,a
25411,d1zata2,1zat,a
25412,d1zava1,1zav,a
25413,d1zbpa1,1zbp,a
25414,d1zcea1,1zce,a
25415,d1zd0a1,1zd0,a
25416,d1zela2,1zel,a
25417,d1zgka1,1zgk,a
25418,d1zhxa_,1zhx,a
25419,d1zina2,1zin,a
25420,d1zjca1,1zjc,a
25421,d1zkea1,1zke,a
25422,d1zl0a1,1zl0,a
25423,d1zmec1,1zme,c
25424,d1zoqc_,1zoq,c
25425,d1zpsa1,1zps,a
25426,d1zsoa1,1zso,a
25427,d1zt3a_,1zt3,a
25428,d1zyma1,1zym,a
25429,d1zzka_,1zzk,a
25430,d2a1va1,2a1v,a
25431,d2a26a1,2a26,a
25432,d2a2la1,2a2l,a
25433,d2a65a1,2a65,a
25434,d2a90a1,2a90,a
25435,d2a9da2,2a9d,a
25436,d2a9sa1,2a9s,a
25437,d2a9ua1,2a9u,a
25438,d2aefa2,2aef,a
25439,d2ag4a_,2ag4,a
25440,d2ahma1,2ahm,a
25441,d2ahme1,2ahm,e
25442,d2aiba_,2aib,a
25443,d2aj7a1,2aj7,a
25444,d2ap3a1,2ap3,a
25445,d2apla1,2apl,a
25446,d2apob_,2apo,b
25447,d2arca_,2arc,a
25448,d2asba2,2asb,a
25449,d2aska_,2ask,a
25450,d2au5a1,2au5,a
25451,d2auwa2,2auw,a
25452,d2axwa1,2axw,a
25453,d2ayda_,2ayd,a
25454,d2b0aa1,2b0a,a
25455,d2b1ya1,2b1y,a
25456,d2b4jc1,2b4j,c
25457,d2b59b2,2b59,b
25458,d2b97a_,2b97,a
25459,d2baya_,2bay,a
25460,d2bbha1,2bbh,a
25461,d2bfdb2,2bfd,b
25462,d2bhua2,2bhu,a
25463,d2bjqa1,2bjq,a
25464,d2bkya_,2bky,a
25465,d2bl8a1,2bl8,a
25466,d2blna1,2bln,a
25467,d2blna2,2bln,a
25468,d2bogx_,2bog,x
25469,d2bopa_,2bop,a
25470,d2brfa1,2brf,a
25471,d2btia_,2bti,a
25472,d2bv4a_,2bv4,a
25473,d2bw3a1,2bw3,a
25474,d2bz1a_,2bz1,a
25475,d2c0ga1,2c0g,a
25476,d2c2aa1,2c2a,a
25477,d2c42a4,2c42,a
25478,d2c60a1,2c60,a
25479,d2c6qa_,2c6q,a
25480,d2c71a1,2c71,a
25481,d2c78a1,2c78,a
25482,d2c78a2,2c78,a
25483,d2c9wa1,2c9w,a
25484,d2ca5a1,2ca5,a
25485,d2cara1,2car,a
25486,d2cb8a_,2cb8,a
25487,d2cc6a_,2cc6,a
25488,d2ccva1,2ccv,a
25489,d2cg7a1,2cg7,a
25490,d2choa1,2cho,a
25491,d2ci1a_,2ci1,a
25492,d2ciwa1,2ciw,a
25493,d2cnqa_,2cnq,a
25494,d2cs7a1,2cs7,a
25495,d2csba5,2csb,a
25496,d2cu2a1,2cu2,a
25497,d2cvea2,2cve,a
25498,d2cwya1,2cwy,a
25499,d2cx1a2,2cx1,a
25500,d2cxya_,2cxy,a
25501,d2cyja1,2cyj,a
25502,d2czra1,2czr,a
25503,d2czvc1,2czv,c
25504,d2d00a1,2d00,a
25505,d2d0oa1,2d0o,a
25506,d2d1sa_,2d1s,a
25507,d2d28c1,2d28,c
25508,d2d8da1,2d8d,a
25509,d2d9ra1,2d9r,a
25510,d2db7a1,2db7,a
