seqID,JNET_acc,HMM_acc,PSSM_acc,JNET_sov,HMM_sov,PSSM_sov
25155,85.71,81.63,82.65,84.10,83.94,87.21
25167,88.64,87.50,87.50,75.48,76.20,82.37
25176,87.32,86.85,90.14,86.12,83.30,89.44
25192,87.71,88.27,88.27,76.30,76.30,80.23
25193,82.20,84.29,81.68,68.32,75.30,72.21
25198,83.88,84.87,82.24,73.25,76.16,71.50
25199,92.21,92.21,88.31,88.00,83.67,83.80
25200,83.66,83.01,81.05,84.84,84.84,88.00
25203,82.79,83.61,81.15,89.18,89.66,83.47
25206,78.48,75.95,74.68,91.13,86.53,77.08
25218,90.84,89.31,87.79,90.71,86.91,82.29
25230,83.81,83.03,81.98,75.12,78.57,72.93
25246,76.68,78.24,76.17,79.73,86.24,68.69
25272,83.12,79.22,83.12,79.00,80.83,79.69
25279,86.01,87.56,73.58,77.01,85.23,65.13
25280,81.30,83.91,75.65,77.13,83.30,63.93
25287,81.10,79.73,80.41,81.43,79.73,79.97
25297,88.46,86.54,89.62,87.34,84.02,87.42
25311,84.57,83.75,78.79,77.06,73.17,71.31
25318,88.89,88.89,85.65,92.10,92.05,85.91
25321,86.61,86.61,85.83,86.21,87.10,84.83
25334,73.21,75.00,70.54,77.14,77.55,76.37
25340,88.10,88.69,86.31,76.02,79.60,70.24
25342,91.30,90.76,90.22,91.87,91.34,86.59
25344,81.33,81.63,79.82,81.22,79.28,79.46
25378,86.72,87.50,82.81,93.16,96.08,90.34
25386,84.91,88.68,82.39,82.91,88.19,87.57
25387,81.93,81.33,78.92,84.17,77.89,83.11
25388,88.81,91.24,87.35,89.70,85.22,87.38
25412,89.27,90.40,87.57,87.66,97.18,91.44
25454,79.03,81.72,75.27,82.71,85.80,75.38
25455,60.40,54.46,63.37,20.69,19.11,18.93
25457,59.37,60.42,64.58,60.40,59.36,61.68
25472,72.57,74.34,71.68,59.59,60.24,58.68
25476,91.01,91.01,87.64,77.12,77.98,74.33
25486,86.05,84.88,86.05,97.09,99.07,96.51
25490,89.61,88.31,89.61,83.56,84.50,83.43
25503,85.59,83.90,84.75,88.83,88.83,87.68
25505,78.40,76.54,79.01,76.41,69.17,80.63
25509,94.12,90.59,94.12,96.08,95.49,96.57
25519,85.00,83.21,83.57,84.32,78.54,85.26
25521,74.42,69.77,74.42,68.78,57.69,70.40
25531,86.86,85.40,85.40,78.99,69.62,67.21
25535,68.52,65.74,69.44,68.92,63.93,67.55
25546,80.72,79.52,80.72,75.25,72.24,79.05
25549,75.62,75.62,78.11,77.48,84.59,81.77
25555,86.29,85.48,83.87,80.99,87.27,65.00
25558,88.54,89.17,87.90,97.41,96.03,97.41
25560,82.12,82.12,79.39,85.69,85.26,72.95
25562,78.49,79.57,80.65,77.85,79.52,81.60
25570,86.47,87.65,83.53,89.11,90.29,81.65
25591,80.66,80.66,79.20,79.15,78.80,81.66
25604,65.29,67.77,69.42,66.26,63.18,71.15
25611,77.23,82.18,78.22,96.55,79.87,97.68
25632,74.59,74.59,68.03,74.69,66.52,63.56
25635,78.65,74.72,76.97,68.88,72.82,70.18
25642,89.29,89.29,89.29,87.96,87.96,88.13
25665,90.70,89.92,88.37,92.91,92.13,84.18
25673,57.14,60.32,52.38,50.45,52.70,44.99
25681,87.97,87.34,86.08,75.87,75.87,93.67
25683,75.00,76.79,74.11,71.38,72.52,69.87
25696,78.92,80.72,78.01,74.34,81.58,76.39
25714,88.43,85.95,89.26,92.54,84.66,83.89
25715,82.81,81.25,82.81,89.06,86.72,86.80
25718,85.58,86.05,84.65,73.23,74.03,71.03
25721,88.12,86.25,89.37,94.17,90.80,95.42
25723,83.81,81.90,81.90,72.58,72.15,72.36
25724,80.42,80.42,81.12,75.38,73.36,77.95
25727,90.91,86.06,90.30,94.28,84.91,97.26
25728,83.33,85.00,78.33,76.29,79.33,87.50
25734,84.62,83.76,83.76,88.23,88.76,90.83
25743,78.72,76.60,76.60,79.05,78.77,78.09
25744,92.00,93.33,85.33,99.20,99.20,93.33
25745,83.08,81.85,80.92,88.26,84.39,83.91
25753,85.96,86.84,85.09,95.91,92.46,95.79
25763,79.34,78.32,79.59,74.71,71.96,72.91
25766,88.24,88.24,87.06,98.43,98.43,82.76
25767,56.80,56.80,60.80,56.09,57.61,59.66
25768,84.87,84.03,82.35,65.93,77.38,94.18
25784,83.22,84.62,79.02,77.76,79.31,78.63
25801,92.00,90.67,93.33,93.67,93.67,94.67
25827,77.27,79.55,75.91,68.14,71.35,66.65
25835,89.68,89.68,90.48,89.77,81.58,90.56
25846,71.08,71.08,66.27,61.54,61.40,48.03
25855,83.54,86.08,83.54,80.32,81.37,69.47
25868,89.47,92.11,84.21,100.00,100.00,100.00
25875,78.21,78.21,79.49,67.24,67.24,70.50
25876,87.56,88.44,85.78,90.62,89.86,88.07
25883,96.15,94.23,98.08,100.00,98.08,100.00
25885,82.40,80.69,78.97,72.22,72.86,57.00
25888,80.33,81.33,74.33,81.75,79.82,75.52
25891,69.43,67.52,68.15,72.85,67.76,65.41
25899,75.39,74.87,73.30,75.07,66.51,81.26
25902,81.63,83.16,77.04,66.60,62.12,66.78
25905,84.11,86.30,78.90,74.29,75.96,67.95
25916,81.84,83.20,79.95,85.06,83.33,76.36
25917,85.15,83.17,84.16,98.02,89.12,91.40
25919,100.00,100.00,97.62,100.00,100.00,100.00
25931,90.83,90.83,90.00,94.75,94.75,87.44
25947,85.32,85.32,87.16,89.86,93.99,90.76
25952,83.67,79.59,82.65,89.97,79.09,83.45
25953,84.06,84.78,84.78,90.69,91.12,92.93
25954,89.61,88.31,90.91,89.01,84.62,78.55
25969,76.92,73.63,72.53,65.78,70.10,63.84
25977,78.57,80.71,73.57,80.01,83.88,78.54
25979,76.92,75.00,76.92,76.04,75.35,74.10
25992,85.54,84.34,83.73,83.85,83.76,84.63
25999,94.81,94.81,94.81,97.40,97.40,98.70
26000,89.12,88.77,85.61,92.43,92.60,89.94
26008,86.31,87.50,84.52,92.38,93.10,85.11
26026,85.00,89.00,81.00,77.15,91.82,85.99
26027,81.58,80.53,71.58,79.86,69.10,74.47
26047,82.58,82.58,81.82,78.33,78.33,72.99
26083,87.50,88.89,83.33,50.95,72.87,35.05
26098,79.74,79.08,79.08,78.27,76.02,77.38
26099,93.10,92.24,92.24,86.61,84.45,88.98
26102,83.64,83.64,72.73,88.04,83.93,62.63
26106,87.31,87.31,86.38,64.66,59.42,64.58
26110,87.13,83.17,84.16,86.80,83.81,76.12
26112,82.71,83.46,80.45,70.45,71.57,77.24
26114,78.75,78.75,72.50,82.50,82.12,76.07
26115,79.47,78.15,70.86,73.96,70.71,74.26
26131,72.92,75.00,73.75,60.08,67.17,60.38
26136,86.46,86.46,83.68,92.22,91.84,87.10
26141,80.62,82.17,78.29,88.20,88.63,85.07
26149,75.47,73.58,79.25,80.70,74.61,87.31
26152,79.14,75.90,72.30,71.68,71.63,60.96
26156,84.11,82.24,85.51,90.40,79.32,92.65
26165,75.31,75.31,76.13,73.09,70.15,73.36
26170,85.67,86.62,81.21,85.82,86.52,77.78
26183,80.45,80.45,82.71,84.18,83.77,83.67
26186,77.46,75.27,76.81,69.46,62.22,71.34
