seqID,JNET_acc,HMM_acc,PSSM_acc,JNET_sov,HMM_sov,PSSM_sov
25250,92.86,94.29,94.29,98.43,98.43,99.29
25252,78.95,78.95,81.58,80.76,77.59,86.14
25255,80.51,78.16,75.45,79.74,71.60,73.95
25256,78.83,79.08,77.37,70.00,66.24,66.27
25267,89.88,89.11,86.77,82.69,77.76,83.62
25272,79.22,76.62,76.62,77.30,74.53,72.55
25273,71.14,77.85,63.09,70.75,75.79,70.05
25283,62.50,59.91,66.81,49.43,50.89,58.99
25285,90.60,91.45,90.60,95.73,96.07,95.73
25287,81.44,80.07,79.73,83.34,81.35,81.39
25299,76.09,69.57,80.43,68.08,60.27,74.78
25301,90.21,88.81,88.11,93.72,89.42,92.79
25312,81.40,83.72,72.09,96.81,98.14,82.33
25318,87.96,86.57,83.33,90.71,86.80,83.24
25345,94.92,94.92,84.75,75.00,98.31,46.35
25360,81.15,82.26,69.18,76.77,77.56,63.48
25365,77.58,73.94,67.88,56.37,59.71,52.16
25368,79.02,80.49,79.02,84.65,82.26,83.40
25380,90.91,93.18,79.55,100.00,100.00,93.18
25386,81.13,84.28,78.62,87.67,89.99,86.79
25391,78.85,78.85,80.77,40.00,40.00,56.10
25393,87.39,85.59,85.59,92.73,65.40,85.36
25400,87.67,83.56,90.41,66.24,63.21,71.09
25418,72.25,73.62,71.10,72.38,72.49,68.13
25423,80.56,72.22,80.56,68.10,72.34,78.72
25424,82.98,85.11,85.11,95.74,95.74,86.77
25425,83.87,83.06,81.45,81.83,79.09,82.03
25427,80.00,78.75,78.75,75.68,71.82,75.68
25429,88.75,91.25,87.50,85.73,88.46,85.37
25438,68.48,69.57,71.74,63.96,66.25,69.95
25445,85.23,88.59,79.19,96.91,94.32,89.78
25446,83.64,74.55,87.27,71.73,74.70,87.72
25447,82.61,81.37,82.61,81.37,79.65,83.85
25455,60.40,56.44,63.37,20.69,19.70,21.84
25462,80.56,80.56,79.17,68.28,75.60,66.69
25464,87.64,86.52,89.89,96.93,96.29,85.96
25466,82.18,82.18,84.16,85.40,89.66,88.54
25468,85.00,83.93,84.64,85.70,81.62,86.47
25472,72.57,72.57,70.80,58.95,58.34,58.00
25473,79.76,83.33,80.95,84.85,81.95,72.24
25501,68.64,68.64,66.95,58.50,64.10,52.68
25503,85.59,84.75,86.44,88.83,88.57,89.72
25507,85.42,85.42,90.28,81.71,83.68,94.04
25517,78.15,75.63,79.83,73.96,68.04,78.40
25540,86.12,81.63,82.86,87.70,84.30,89.70
25544,86.96,88.04,83.70,92.48,91.12,82.19
25551,78.34,74.52,76.43,82.30,80.19,76.82
25557,74.36,71.79,75.64,86.26,83.59,87.76
25558,89.81,91.08,88.54,97.77,97.58,92.56
25572,90.62,89.84,91.41,88.75,87.97,89.40
25573,74.81,75.56,72.59,73.29,73.23,63.45
25574,86.23,86.23,79.67,84.84,83.55,81.67
25591,80.66,81.02,78.83,83.78,82.84,82.95
25600,87.26,85.35,87.90,95.00,93.30,96.33
25609,84.13,80.00,88.57,79.87,63.37,93.92
25613,71.15,75.00,71.15,51.19,62.79,56.47
25618,73.49,72.29,68.67,54.13,52.68,49.42
25624,71.72,68.69,71.72,59.57,65.12,58.95
25634,84.72,84.72,81.94,91.17,90.92,89.83
25649,72.38,72.86,71.43,60.03,60.60,62.28
25656,81.20,83.76,75.21,83.81,86.76,69.69
25659,79.08,77.78,79.08,79.75,76.70,77.64
25669,85.15,90.10,77.23,93.45,94.86,71.22
25679,82.39,82.95,79.55,88.90,88.83,83.06
25697,88.89,86.42,86.42,79.50,78.88,79.50
25705,45.26,46.32,43.16,48.06,45.19,44.82
25709,80.58,79.61,85.44,83.63,78.11,93.27
25710,84.31,82.35,82.35,79.98,80.12,79.81
25718,85.58,86.05,83.26,80.89,80.52,77.13
25725,91.76,92.94,90.59,94.00,94.00,92.71
25731,81.33,78.42,83.40,79.26,68.63,84.33
25742,84.95,86.56,82.26,94.60,96.64,90.82
25748,79.25,86.79,81.13,53.28,67.17,41.36
25753,85.09,84.21,85.96,96.28,96.21,96.28
25757,87.69,86.92,86.92,85.38,84.81,85.11
25761,80.23,80.23,82.56,82.88,83.60,87.94
25767,56.00,58.40,57.60,58.05,61.48,62.01
25775,79.09,81.82,71.82,78.59,80.31,74.28
25781,84.30,81.82,83.47,87.01,79.92,81.80
25788,83.11,84.44,82.45,65.09,73.05,66.92
25790,75.19,75.97,68.22,67.08,66.47,59.14
25798,81.75,81.75,75.18,79.50,79.76,76.96
25800,81.62,79.49,83.33,79.83,77.09,82.19
25807,89.02,86.59,89.02,94.33,93.60,94.33
25808,81.25,81.94,72.22,91.25,84.64,71.76
25829,80.17,82.12,80.45,86.87,87.67,84.80
25832,87.68,87.68,86.23,85.24,86.04,84.25
25850,78.89,79.26,76.67,69.11,69.80,67.12
25859,78.26,80.43,76.09,44.12,61.49,58.11
25863,78.26,79.13,64.35,76.25,77.44,60.56
25876,87.11,85.33,86.22,88.97,90.99,87.57
25889,77.78,79.01,85.19,86.79,82.84,93.09
25902,82.65,83.67,76.02,65.19,62.12,62.61
25912,87.14,87.14,84.29,95.92,95.92,96.12
25914,86.99,87.80,87.80,93.50,95.12,92.14
25928,85.77,85.05,81.85,92.99,90.32,84.49
25937,63.59,62.75,61.62,65.56,60.08,65.09
25939,70.35,69.85,69.35,61.43,62.96,56.52
25940,78.43,77.12,77.78,79.75,78.61,78.48
25947,85.32,85.32,86.24,87.57,89.86,88.47
25952,82.65,71.43,82.65,86.01,67.99,83.85
25955,75.77,75.77,68.85,74.02,74.05,65.97
25962,75.54,75.00,75.54,76.96,75.77,76.28
25970,76.39,75.00,74.31,63.69,62.56,52.87
25971,78.60,78.19,79.01,84.76,84.22,85.33
25992,83.73,84.94,81.33,86.32,87.16,84.63
25993,75.30,76.92,75.71,68.43,74.00,71.48
25998,83.33,82.58,81.82,70.95,62.71,70.63
26011,84.11,84.77,83.44,75.71,78.13,75.16
26015,63.04,73.91,60.87,61.80,75.78,59.19
26031,77.97,77.12,79.66,79.10,78.03,81.04
26033,83.06,81.45,77.42,89.19,87.49,80.43
26054,87.97,91.14,83.54,88.43,89.72,87.97
26058,83.98,85.92,82.04,83.60,85.67,77.48
26062,77.08,78.70,66.79,65.97,69.80,59.80
26065,74.83,71.75,75.52,68.33,66.36,70.05
26086,82.18,83.17,80.20,77.58,86.27,72.04
26095,83.51,84.02,81.96,84.17,83.88,79.65
26096,85.02,84.06,87.92,84.33,77.51,77.50
26101,77.11,80.12,74.70,74.01,75.66,69.75
26103,87.07,87.07,84.48,87.32,87.68,84.74
26107,87.97,86.08,84.18,94.79,89.95,90.17
26112,81.20,83.46,79.70,77.72,92.42,75.30
26116,86.99,86.99,89.73,78.86,77.39,82.81
26122,90.91,91.74,88.43,98.95,98.95,97.78
26129,86.21,86.64,86.21,92.07,92.61,91.41
26132,84.24,84.24,80.61,89.75,87.63,87.20
26154,88.44,87.07,89.12,84.27,83.92,84.47
26158,74.39,73.17,73.78,57.85,62.11,61.39
26163,82.09,84.48,80.90,82.58,82.99,86.05
26175,97.44,92.31,94.87,99.15,79.43,91.29
26180,73.77,73.77,72.95,60.59,75.04,66.74
26194,74.06,75.31,70.62,67.51,73.69,68.12
26198,69.58,69.17,71.25,75.55,72.00,76.45
