seqID,JNET_acc,HMM_acc,PSSM_acc,JNET_sov,HMM_sov,PSSM_sov
26006,87.88,85.45,87.88,91.59,92.55,86.86
26031,82.20,80.51,82.20,89.73,88.66,90.25
26032,85.06,85.06,82.47,90.29,81.51,89.64
26037,76.81,76.52,74.20,61.81,63.51,66.65
26038,90.35,88.60,90.35,98.20,95.92,85.78
26058,88.35,88.83,86.41,91.58,92.55,89.17
26062,80.51,81.23,73.83,65.44,64.48,62.25
26069,86.27,84.31,86.27,77.05,77.39,78.27
26077,68.57,77.14,60.00,70.57,82.00,57.70
26079,79.45,80.50,78.83,81.78,80.52,81.42
26088,91.11,90.56,91.11,66.94,61.64,73.23
26101,77.11,75.90,74.10,65.48,65.09,65.68
26102,81.82,82.42,73.94,85.98,88.83,53.43
26107,90.51,89.24,86.08,94.56,94.14,86.86
26108,85.00,85.00,83.00,88.32,86.65,86.09
26115,76.16,77.48,71.52,70.20,74.39,66.70
26131,72.92,74.17,74.17,61.46,62.44,61.54
26141,79.07,80.62,77.52,84.35,85.05,82.76
26157,83.22,84.62,83.92,82.00,76.72,75.00
26159,85.91,83.85,82.47,86.01,84.24,79.21
26160,80.19,80.19,74.53,78.23,79.26,72.83
26168,91.25,92.50,87.50,98.75,98.75,96.88
26175,97.44,94.87,97.44,99.15,99.15,99.15
26178,94.38,75.28,80.90,76.51,72.77,47.69
26193,82.41,83.30,80.07,70.75,73.16,69.34
