scopeID,HMM_acc,PSSM_acc,HMM_sov,PSSM_sov
d1ucsa_,79.69,65.62,59.35,51.07
d2d8da1,96.25,98.75,99.38,100.00
d1kmva_,80.00,82.70,82.47,84.30
d2j9wa_,85.15,79.21,80.49,89.59
d2es9a1,84.54,84.54,85.97,83.78
d1nu9c1,87.59,91.03,63.81,81.95
d1x38a2,79.91,77.57,71.83,67.44
d3g91a_,78.85,70.38,75.56,70.78
d2je6i2,83.05,83.05,75.00,84.18
d2j4wd1,79.41,70.59,66.18,46.10
d1ecwa_,75.44,78.95,79.90,81.33
d2gf4a1,85.39,83.15,86.95,85.53
d3bn0a1,57.89,61.05,57.38,54.53
d1iqza_,79.01,83.95,86.67,93.69
d3swoa1,81.28,86.81,72.30,76.69
d3q46a_,84.09,80.11,78.24,78.20
d1s2xa_,75.00,78.89,69.44,73.03
d3a9sa1,84.96,86.63,82.57,86.25
d1lsla1,85.19,81.48,94.63,89.43
d2g0da_,81.19,79.46,79.09,77.42
d2rlda1,81.42,83.19,81.46,75.05
d1v58a2,83.33,83.33,88.12,86.88
d1pvma3,83.33,88.89,90.56,86.33
d2vhka_,75.24,63.11,58.75,29.42
d1q6za2,75.56,72.78,80.74,78.37
d2x5oa2,75.49,70.10,67.19,65.69
d1q9ua_,87.50,89.06,93.18,92.89
d2pk8a_,81.91,75.53,80.95,80.90
d3cu9a_,80.89,75.80,63.77,61.56
d2ap3a1,89.44,90.56,87.56,96.48
d3ldqb_,84.68,89.19,82.29,77.41
d1hyoa2,75.84,73.83,70.85,67.48
d1b25a1,81.55,77.56,69.68,73.63
d3eera_,80.71,80.71,81.85,84.40
d1h16a_,78.79,77.47,70.27,76.49
d1ozja_,73.81,75.40,67.74,71.79
d1ciya3,90.58,88.79,88.76,88.59
d3jqka_,86.71,81.12,84.86,74.45
d2d28c1,89.58,94.44,85.01,95.07
d1zata2,85.25,81.15,85.08,83.01
d3arci_,86.84,81.58,100.00,98.68
d2hnua_,69.88,68.67,46.77,48.32
d1ikpa3,80.42,83.22,79.96,80.20
d1rl6a1,85.33,86.67,93.00,93.19
d2dt8a_,83.21,84.29,82.57,82.93
d1oqja_,81.11,68.89,71.29,68.19
d1wpba_,85.12,89.88,78.89,87.25
d1o22a_,78.52,75.17,83.72,80.57
d1r0va1,65.38,64.10,65.71,61.91
d2h6fa1,86.03,90.79,84.67,96.17
d4af1a1,83.33,81.16,86.12,83.56
d1u07a_,82.22,84.44,79.20,91.39
d1f1ea_,86.09,84.11,87.85,87.76
d2wnpf_,83.41,69.59,72.13,48.17
d2i5ua1,85.14,82.43,95.84,89.64
d3byqa1,73.30,80.10,70.60,83.50
d3f0pa2,84.37,83.59,83.37,85.04
d2xjpa_,77.91,78.29,58.38,58.35
d2c6qa_,69.21,69.21,66.61,64.11
d1s1da_,80.13,77.29,78.68,71.54
d3s4ya1,83.22,83.92,91.29,92.07
d1l9la_,86.49,78.38,93.69,89.46
d3omya_,94.12,86.27,85.59,81.92
d3m5qa_,81.79,80.95,67.04,65.84
d4dhla1,88.50,88.50,86.06,86.24
d1p5dx1,86.99,87.67,84.57,85.27
d4e2va_,81.59,80.22,76.56,68.59
d1p1xa_,83.60,79.60,84.98,79.72
d1zl0a1,79.71,73.91,84.84,80.20
d1t8ka_,94.81,87.01,90.39,84.27
d1ut7a_,79.59,79.59,59.06,64.61
d1dcea2,81.65,79.82,87.89,78.21
d1r7la_,75.73,80.58,70.41,75.04
d3ar4a2,81.74,63.48,75.89,71.26
d1vmha_,87.50,83.59,97.58,85.73
d1tjxa_,74.36,75.00,79.69,81.51
d3rvca_,47.46,46.61,47.99,42.23
d2a9da2,80.49,75.20,80.53,68.24
d1y0pa3,76.03,65.75,72.48,62.87
d3pbta1,76.92,60.36,71.33,53.53
d1f60b_,85.56,72.22,80.88,81.39
d1h4xa_,82.88,86.49,91.98,85.43
