seqID,HMM_acc,PSSM_acc,HMM_sov,PSSM_sov
25611,82.18,78.22,79.76,96.10
25613,75.00,76.92,52.79,61.95
25616,84.36,87.15,93.04,93.81
25630,75.74,74.75,69.49,70.82
25644,87.39,81.98,82.48,49.02
25653,69.41,75.88,56.53,65.29
25658,73.86,75.00,83.10,84.70
25669,90.10,80.20,96.04,73.36
25673,60.32,58.73,53.77,51.73
25675,77.97,77.97,68.75,68.29
25677,83.33,81.62,87.54,89.71
25680,83.00,85.00,79.57,90.86
25681,88.61,87.34,75.95,94.94
25690,81.67,80.00,70.74,69.10
25692,75.73,80.10,77.17,82.97
25696,81.63,78.01,82.26,70.80
25701,92.86,92.86,100.00,100.00
25706,79.35,86.96,85.73,78.47
25710,86.27,82.35,86.00,78.50
25721,86.87,88.75,83.98,92.79
25728,80.00,75.00,93.85,83.69
25732,90.72,89.69,88.48,78.09
25737,84.39,84.76,84.49,85.34
25744,94.67,89.33,100.00,100.00
25749,78.69,77.05,84.70,84.70
25756,95.45,94.89,93.23,99.43
25767,59.20,59.20,65.20,62.95
25771,85.15,82.18,83.40,78.33
25773,86.51,83.33,83.67,80.80
25776,78.43,79.74,80.60,83.10
25780,83.19,84.07,68.78,63.65
25814,87.61,84.96,86.13,86.45
25823,89.39,86.36,86.91,86.91
25842,81.25,77.68,77.95,72.44
25858,59.18,73.47,43.21,82.04
25874,83.09,76.26,48.18,53.09
25876,87.11,87.56,85.74,88.49
25877,74.52,74.52,66.87,69.50
25885,80.26,78.11,71.95,57.38
25913,88.54,88.02,85.07,77.35
25914,87.80,88.62,93.50,94.58
25915,81.85,78.66,72.35,70.73
25934,77.55,81.12,76.58,89.14
25959,81.70,81.70,80.70,85.22
25967,83.66,82.67,73.51,63.43
25980,67.33,66.67,47.38,45.49
25987,85.31,87.01,87.86,86.70
25993,78.14,76.52,75.83,70.82
25995,84.34,90.36,89.32,98.43
25998,84.09,84.09,62.50,70.92
26003,84.87,82.35,88.42,84.80
26005,86.67,72.31,87.09,68.92
26010,80.00,75.79,74.27,72.64
26011,86.75,85.43,81.17,72.56
26026,86.00,80.00,83.69,86.89
26031,79.66,82.20,83.95,80.67
26055,88.00,86.40,86.17,84.02
26066,72.87,75.80,79.16,79.20
26078,79.39,74.05,71.02,66.33
26084,64.62,56.92,49.67,54.71
26094,80.41,74.23,85.18,72.24
26110,84.16,87.13,79.21,78.34
26119,82.54,81.75,74.31,71.35
26124,92.63,89.47,92.76,91.89
26126,92.71,95.83,96.35,99.48
26163,87.46,83.58,81.52,87.54
26168,91.25,91.25,98.12,98.75
26176,78.26,77.64,71.69,69.40
26188,84.18,82.65,78.32,75.87
26194,76.87,74.37,74.33,76.31
26198,68.33,71.67,70.53,73.71
26201,73.33,72.22,68.32,70.33
