seqID,HMM_acc,PSSM_acc,HMM_sov,PSSM_sov
22348,84.25,85.04,86.77,87.09
22352,81.74,83.48,82.50,92.78
22374,94.92,84.75,100.00,99.15
22375,86.36,85.80,92.56,83.40
22387,76.63,71.74,82.60,74.31
22398,78.69,78.69,81.33,81.27
22413,85.34,87.07,81.12,86.27
22416,75.90,71.69,77.81,71.28
22417,80.99,83.63,82.70,85.14
22446,73.39,75.46,66.81,74.66
22453,81.45,80.65,77.94,75.38
22460,79.58,78.87,61.70,51.86
22464,78.46,73.17,73.59,70.62
22486,52.86,51.43,48.54,40.66
22493,68.82,72.35,55.51,57.19
22503,64.60,66.37,58.04,50.89
22505,72.83,78.03,71.71,79.23
22507,91.01,91.01,82.95,81.07
22513,94.00,92.00,87.50,89.71
22524,76.74,77.74,67.47,69.17
22527,82.09,79.10,90.80,85.39
22532,83.33,86.84,76.97,76.91
22537,75.31,75.31,77.89,76.30
22542,81.82,78.18,75.08,70.93
22545,85.45,78.79,81.75,63.70
22559,79.33,83.00,75.20,79.17
22560,77.99,77.99,79.55,76.45
22569,88.43,75.21,90.08,71.72
22571,65.25,67.38,61.87,78.15
22578,78.21,74.36,76.85,82.76
22587,52.17,58.70,43.13,52.07
22595,75.27,76.34,69.20,74.81
22601,81.54,80.00,84.70,92.56
22612,93.59,94.87,78.25,99.36
22627,92.62,90.16,97.13,95.29
22637,87.95,89.16,85.61,91.72
22651,87.73,88.10,97.97,95.72
22653,87.85,85.98,90.32,90.89
22663,84.27,82.58,84.91,86.23
22664,80.56,84.72,76.07,84.24
22667,65.04,83.33,66.38,83.36
22675,79.29,82.14,80.94,82.16
22678,84.69,84.69,79.25,82.89
22692,89.74,94.87,96.15,98.72
22695,80.73,72.48,76.45,69.58
22696,75.73,72.82,72.91,68.27
22698,81.71,66.29,59.60,47.91
22714,87.00,86.00,92.96,92.59
22718,85.59,85.59,62.96,60.25
22719,63.89,63.89,47.92,56.11
22732,91.36,86.42,96.91,86.59
22747,83.82,85.48,81.22,89.23
22748,68.79,70.92,73.45,77.15
22752,75.19,82.17,76.24,79.46
22754,85.23,87.50,80.35,89.26
22755,85.58,85.58,88.49,89.20
22756,87.35,87.35,82.81,89.96
22766,86.67,71.67,95.42,80.42
22781,86.67,85.33,77.13,97.45
22785,83.02,81.13,64.03,41.36
22787,74.55,74.55,54.58,64.96
22794,84.62,84.62,82.00,83.33
22795,77.11,85.54,82.77,93.27
22810,88.10,83.33,84.03,81.31
22829,74.34,73.89,69.12,65.99
22830,85.22,82.76,86.00,84.22
22833,89.84,88.67,92.73,88.13
22849,86.27,83.66,75.51,81.97
22864,87.69,86.15,96.08,86.54
22865,75.82,72.55,90.06,85.61
22866,72.00,70.00,25.56,37.83
22868,78.57,77.68,73.49,75.09
22876,83.57,83.57,79.03,77.19
22885,89.04,84.93,72.20,95.07
22886,81.03,82.76,81.69,80.29
22889,74.42,72.09,58.16,56.54
22901,82.14,78.57,84.03,81.36
22914,85.56,84.44,88.97,86.86
22915,87.69,86.15,78.79,73.61
22922,55.56,62.22,57.81,60.95
22923,88.51,87.89,85.97,86.06
22930,84.71,80.00,91.39,89.98
22945,90.55,86.61,97.90,95.87
22953,89.17,91.67,93.75,94.75
22954,69.05,60.71,63.32,51.13
22971,87.76,81.63,93.57,84.08
22984,72.92,71.53,63.77,65.55
23000,85.31,81.36,85.70,84.47
23005,82.53,83.13,82.95,86.09
23020,83.16,68.42,86.39,74.50
23029,83.80,82.39,87.08,85.30
23033,84.31,82.35,78.81,78.81
23035,83.33,82.61,89.33,82.51
23047,82.95,80.68,76.50,76.85
23053,82.58,81.82,76.24,76.97
23058,85.02,81.38,84.74,82.84
23070,77.71,73.49,83.65,84.30
23074,82.69,78.37,92.37,78.00
23086,63.08,56.92,51.33,54.47
23087,85.15,80.20,74.62,72.21
23088,80.56,75.56,54.20,46.92
23091,83.25,80.20,76.85,79.76
23096,79.66,78.53,83.75,87.93
23098,81.88,81.88,85.22,79.10
23105,90.09,86.69,68.45,62.81
23110,82.73,78.18,79.47,70.12
23121,89.63,79.27,94.61,74.41
23146,82.45,82.78,81.00,85.39
23150,80.63,79.68,72.16,71.39
23152,84.88,84.88,88.63,90.63
23153,65.56,63.33,54.79,51.66
23157,77.78,78.19,79.08,75.58
23161,83.76,84.71,85.20,87.25
23162,80.43,77.17,87.01,84.45
23168,85.00,77.86,75.12,69.02
23171,77.32,67.01,63.40,59.43
23172,74.52,76.83,66.41,65.74
