scopeID,HMM_acc,PSSM_acc,HMM_sov,PSSM_sov
d2cyja1,70.34,65.25,65.60,50.54
d1wpna_,92.51,90.91,94.92,85.98
d1zmec1,86.11,77.78,80.85,76.60
d2v9la_,79.12,76.56,82.54,73.09
d1xm3a_,84.02,82.38,82.18,84.03
d2gpia1,85.56,90.00,86.52,83.89
d1vk1a_,59.91,67.24,48.24,54.00
d2xi8a_,87.88,87.88,86.91,86.16
d2p62a1,78.84,82.16,61.83,73.90
d2gjva1,81.34,82.84,76.74,83.42
d1k4ia_,81.02,83.33,77.74,76.98
d2g7sa2,88.79,87.93,88.98,87.69
d1kq6a_,86.43,88.57,83.02,89.14
d1tkea2,77.78,75.31,76.43,75.14
d1wy5a2,78.95,80.00,76.74,77.79
d1ccwb_,88.61,88.82,88.55,88.46
d2f2ba_,83.27,86.94,81.37,90.57
d1vzma_,79.07,74.42,91.16,82.79
d1kapp1,75.45,81.70,74.31,80.15
d1ds1a_,82.97,77.71,79.39,74.52
d2wlva_,82.64,74.31,79.14,78.20
d3dxra_,91.30,89.86,95.65,95.65
d4dwra_,77.43,75.78,77.50,72.23
d1xeoa_,75.76,75.76,61.46,69.55
d1ppjd2,86.96,78.26,96.89,95.53
d1z0wa_,78.33,72.41,73.75,72.00
d3mqda1,75.50,77.51,67.93,74.29
d2ppva_,81.85,80.62,84.37,83.94
d1x9za_,79.12,89.56,81.50,93.27
d2fyuk_,60.38,83.02,70.19,80.83
d1k3xa1,89.89,93.26,83.23,90.88
d4gt9a_,84.58,86.45,85.24,92.14
d2xola_,75.60,80.36,67.51,68.78
d4doia_,81.45,81.90,77.75,76.15
d2aj7a1,86.49,87.84,84.77,84.12
d2pv4a1,79.17,80.56,47.65,78.34
d2cb8a_,88.37,86.05,98.84,95.76
d2nuga1,91.89,85.81,87.34,86.38
d1rlra1,88.68,81.13,86.96,79.73
d3rlff2,81.48,81.48,79.87,65.47
d2gfqa1,80.29,79.93,81.02,82.95
d1sj7a1,94.01,86.23,97.60,80.81
d1zsoa1,80.13,78.21,75.75,79.45
d4fw1a2,77.36,77.36,80.70,77.87
d1n93x_,76.72,80.00,78.43,72.58
d3cwca_,81.03,78.05,78.54,78.14
d3hwua_,70.83,75.00,57.30,62.25
d2fhza1,78.31,77.11,82.30,77.49
d1osya_,72.81,71.05,65.28,59.89
d1vcla3,71.14,67.11,75.31,64.11
d4kefa_,81.95,82.71,84.75,91.99
d1z2ua1,91.16,85.71,88.56,79.16
d1vq8y1,85.92,80.28,55.44,48.79
d1yfsa1,79.72,74.53,84.17,69.85
d2ccva1,86.87,88.89,88.17,88.85
d1kwfa_,84.85,81.82,89.08,88.34
d2hw4a1,90.00,91.82,84.99,95.07
d1n62b2,78.88,78.43,70.31,71.86
d1ppjg_,80.82,86.30,47.91,89.04
d1j98a_,83.12,85.06,76.41,85.14
d4eo7a_,74.13,69.93,72.61,68.72
d2blna2,88.83,77.16,89.16,80.19
d1vk5a_,79.34,83.47,83.62,76.42
d2p6va1,87.63,89.69,87.63,88.33
d3ueja_,64.62,52.31,49.17,47.11
d1gqea_,87.85,84.81,88.89,86.23
d1boub_,73.49,77.18,71.13,79.00
d1u2ha_,85.42,85.42,89.48,85.83
d1f86a_,85.22,85.22,85.86,85.86
d3zyla2,93.10,92.24,87.47,86.61
d2hy5a1,82.31,80.77,80.78,84.45
d1s7za_,81.13,73.58,70.69,64.41
d2o8sa1,85.00,82.27,87.45,79.43
d2hpja_,88.89,85.86,94.68,91.18
d1mc2a_,90.98,79.51,86.32,67.91
d3umha_,92.78,92.22,75.33,83.29
d1nvus_,84.43,77.61,83.29,72.63
d1o3ua_,87.50,89.17,96.25,94.90
d1regx_,69.67,72.95,65.54,77.81
d1boua_,85.61,87.12,78.47,74.65
d1kjqa1,66.22,66.22,64.80,58.08
d1yb3a1,80.72,75.30,82.67,79.46
d1e58a_,76.92,81.38,67.49,76.76
d2d0oa1,78.40,79.63,77.29,77.32
d3w5ha2,86.39,85.71,82.62,86.29
d1o7ja_,87.69,82.15,84.76,78.13
d1gcia_,77.70,70.63,68.15,62.82
d1g2ra_,84.04,86.17,83.48,88.13
d2ob3a_,80.24,83.59,71.53,78.70
d4a1ia2,85.34,82.76,88.64,79.76
d2csba5,64.60,68.04,59.01,62.62
d3swoa2,83.66,87.58,66.67,78.50
d1yfqa_,80.70,80.70,88.23,82.34
d4hdra_,88.06,82.09,83.49,86.59
d1s0pa_,86.36,85.23,74.24,73.09
d2dxua2,69.77,74.42,56.65,70.40
d2bw3a1,83.33,76.19,81.95,76.06
d4i8ha_,78.48,68.16,79.06,54.42
d2saka_,75.21,81.82,74.00,83.93
d2bv4a_,72.57,72.57,60.24,60.78
d1vyra_,83.75,80.17,75.37,70.73
d1e7la1,83.33,85.19,84.57,90.48
d1gd8a_,85.71,80.95,91.75,84.07
d1q74a_,84.67,84.32,74.92,77.75
d1q6za1,85.62,81.25,78.32,78.74
d2bl8a1,89.25,77.42,100.00,89.25
d1k32a3,78.89,81.94,72.40,81.50
d1nwza_,76.00,73.60,68.83,67.31
d1wlga_,69.97,67.92,45.45,50.80
d1gmua1,91.43,88.57,94.29,86.61
d1gpja3,90.91,83.22,97.83,92.29
d1sdia_,88.73,87.32,83.72,86.98
d1mvfd_,81.82,68.18,84.66,69.09
d1z9ta_,84.58,78.75,83.66,76.14
d2fqma1,80.00,78.46,82.81,83.78
d1n81a_,80.11,77.96,78.43,74.64
d1oo0a_,77.78,78.47,84.38,89.91
d1ix9a1,75.56,86.67,68.75,86.02
d1d0qa_,90.20,87.25,89.65,89.59
d4enea_,89.64,83.56,86.83,84.49
d1a62a1,93.62,91.49,96.81,94.33
d2pbka_,76.32,73.68,71.05,66.49
d1mg4a_,96.04,91.09,94.11,76.69
d1n62a1,96.34,91.46,100.00,99.24
d1xuba1,85.16,85.16,88.26,92.57
d2xhia1,83.33,87.30,72.58,77.65
d1a1xa_,74.53,75.47,69.27,76.43
d1utga_,88.57,94.29,98.00,99.14
d2wbma1,80.34,82.05,77.10,82.55
d2pspa1,81.13,81.13,41.36,41.36
d3fyba_,72.45,84.69,59.47,85.56
d3dbya1,93.39,90.91,94.87,95.25
d1vkfa_,72.09,69.77,74.60,68.37
d1ijqa1,93.41,89.53,96.64,95.03
