seqID,JNET_acc,HMM_acc,PSSM_acc,JNET_sov,HMM_sov,PSSM_sov
25291,75.70,71.96,72.90,85.79,79.39,84.63
25293,80.37,77.91,86.50,66.46,61.82,79.03
25294,91.18,92.65,91.18,92.86,93.28,92.54
25295,85.26,82.11,85.79,94.60,83.57,92.53
25311,83.47,83.20,79.89,73.89,72.61,72.88
25312,83.72,83.72,69.77,91.86,91.86,72.09
25319,84.54,81.34,82.18,76.24,72.03,72.74
25320,87.50,84.72,80.56,68.77,57.90,64.30
25323,89.23,87.54,86.53,84.92,84.76,77.33
25328,80.00,81.23,66.77,76.66,77.02,61.61
25333,91.43,94.29,91.43,97.14,98.57,97.14
25334,71.43,69.64,72.32,71.31,67.58,73.79
25340,89.88,86.31,92.26,82.11,81.33,83.81
25345,94.92,98.31,88.14,99.15,100.00,99.15
25346,86.36,87.50,80.68,84.94,94.38,78.71
25347,81.65,79.96,79.59,78.67,74.12,75.70
25352,82.39,83.02,81.76,82.67,82.17,88.08
25356,81.25,81.25,79.69,86.41,82.86,88.39
25359,85.23,84.56,89.26,79.35,78.26,82.00
25393,90.09,89.19,89.19,84.62,84.11,91.74
25397,87.28,88.44,85.55,87.02,89.48,83.68
25399,92.16,94.12,90.20,97.84,99.02,97.06
25416,70.81,70.81,69.38,64.04,64.09,59.95
25418,74.54,72.71,73.39,76.27,74.42,76.44
25425,86.29,86.29,83.87,83.76,80.04,79.79
25426,82.69,84.62,76.28,88.54,88.91,74.62
25432,80.28,81.69,80.28,62.37,63.11,61.84
25448,86.08,84.81,74.68,91.01,91.01,79.75
25451,80.95,77.38,80.95,81.05,80.53,82.34
25454,82.26,81.18,80.65,89.76,84.10,84.26
25457,64.58,62.50,68.75,68.65,66.75,68.21
25473,84.52,82.14,84.52,82.46,82.35,82.58
25476,91.01,91.01,89.89,77.12,77.12,69.13
25483,90.00,90.00,88.00,83.67,83.67,83.67
25485,79.38,77.32,73.71,73.89,76.58,75.32
25506,84.60,82.93,84.23,87.24,83.35,87.64
25508,95.00,95.00,96.25,99.38,99.38,99.38
25511,67.50,63.75,71.25,61.82,57.89,64.52
25515,86.44,87.29,87.29,85.02,85.02,84.51
25521,72.09,72.09,81.40,58.91,58.91,79.71
25522,89.70,89.09,87.27,94.37,93.46,93.79
25527,81.33,79.00,77.67,81.78,72.91,80.18
25553,82.05,82.05,84.62,71.54,71.54,87.18
25559,89.29,89.29,89.29,94.53,97.50,92.86
25577,85.38,87.69,62.31,92.82,85.65,62.76
25578,69.60,68.00,69.60,71.11,72.59,66.55
25585,82.03,80.68,82.37,80.79,77.78,84.69
25611,82.18,81.19,76.24,97.43,96.94,95.00
25613,71.15,73.08,71.15,53.46,53.27,51.80
25616,83.80,82.68,85.47,93.91,93.41,88.00
25630,75.74,74.75,75.41,71.87,69.16,72.01
25644,89.19,90.99,82.88,80.70,80.42,65.89
25653,72.94,72.35,72.94,54.95,49.33,55.25
25658,70.45,71.59,75.00,78.89,78.41,82.23
25669,83.17,84.16,78.22,92.80,93.42,87.95
25673,66.67,73.02,57.14,59.44,73.20,50.61
25675,83.05,81.36,79.66,82.20,82.20,80.83
25677,83.76,84.62,85.04,89.70,86.74,91.46
25680,83.00,84.00,85.00,79.43,79.95,81.43
25681,86.08,86.71,85.44,93.04,94.94,87.06
25690,80.00,76.67,78.33,91.33,86.33,90.17
25692,77.18,77.18,79.61,82.10,82.10,81.69
25696,82.23,84.34,78.31,79.30,81.61,75.73
25701,88.57,91.43,91.43,100.00,100.00,100.00
25706,84.78,82.61,85.87,75.00,87.29,81.07
25710,78.43,84.31,80.39,76.54,82.08,79.64
25721,86.87,86.25,90.62,91.56,86.98,95.38
25728,75.00,78.33,71.67,80.58,90.52,77.04
25732,91.75,90.72,81.44,88.96,88.96,80.60
25737,84.01,83.27,85.87,84.39,84.15,85.62
25744,96.00,98.67,93.33,100.00,100.00,100.00
25749,81.97,83.61,78.69,87.98,89.67,78.04
25756,95.45,95.45,94.89,92.45,88.35,99.15
25767,61.60,60.80,61.60,62.83,62.65,58.95
25771,84.16,84.16,88.12,83.48,83.48,84.22
25773,83.33,81.75,82.54,82.26,80.77,80.68
25776,77.12,79.08,78.43,79.85,80.81,81.33
25780,86.73,81.42,89.38,86.04,83.36,84.05
25814,84.07,86.28,79.20,86.58,86.59,82.01
25823,87.88,84.85,86.36,87.12,85.17,87.12
25842,81.25,81.25,78.57,78.18,77.62,76.89
25858,67.35,61.22,75.51,51.04,45.17,88.47
25874,77.70,78.78,75.18,52.26,52.53,51.39
25876,88.00,89.33,87.11,89.44,94.87,80.45
25877,73.89,75.16,76.43,69.24,70.55,69.59
25885,81.55,81.55,81.55,70.70,71.04,64.94
25913,88.02,88.54,85.42,87.27,94.22,84.28
25914,88.62,87.80,88.62,95.93,95.12,94.58
25915,81.21,82.48,78.66,71.53,74.25,66.85
25934,77.55,77.55,79.08,80.45,83.93,80.65
25959,83.66,83.01,77.78,85.97,80.18,79.31
25967,85.64,84.65,81.68,80.92,81.42,75.28
25980,66.00,68.67,60.67,55.44,49.12,46.33
25987,88.14,87.01,84.18,87.42,88.07,82.95
25993,78.95,78.95,77.33,75.14,76.39,73.49
25995,89.76,84.94,89.76,100.00,93.41,99.40
25998,84.09,85.61,83.33,63.32,63.75,70.31
26003,84.03,84.87,84.87,91.21,91.29,88.44
26005,86.15,85.64,76.41,83.93,87.20,70.92
26010,77.89,78.95,73.68,75.21,81.43,71.53
26011,85.43,84.77,85.43,76.13,76.82,74.70
26026,88.00,88.00,81.00,91.27,91.82,86.00
26031,79.66,76.27,79.66,84.76,78.78,84.37
26055,87.20,87.20,84.00,84.48,84.07,84.39
26066,73.94,73.67,75.53,81.44,79.61,79.53
26078,75.57,77.10,72.52,69.45,71.61,74.74
26084,63.08,66.15,53.85,62.23,52.74,50.34
26094,78.35,80.41,78.35,76.87,85.11,76.80
26110,90.10,84.16,87.13,89.42,84.72,83.14
26119,87.30,88.10,84.92,76.98,76.27,76.49
26124,89.47,90.53,91.58,91.71,92.24,92.24
26126,95.83,93.75,93.75,99.31,91.50,98.96
26163,85.37,88.66,80.90,88.67,93.22,84.09
26168,88.75,88.75,87.50,97.50,96.08,96.88
26176,76.40,76.40,76.40,75.17,75.10,73.83
26188,82.65,82.14,83.67,84.17,77.60,81.82
26194,74.06,72.81,71.56,73.56,73.70,70.03
26198,66.67,67.50,68.75,72.95,74.16,76.36
26201,74.44,74.44,76.67,73.97,70.67,78.12
